PH,Brand.Code,Carb.Volume,Fill.Ounces,PC.Volume,Carb.Pressure,Carb.Temp,PSC,PSC.Fill,PSC.CO2,Mnf.Flow,Carb.Pressure1,Fill.Pressure,Hyd.Pressure2,Hyd.Pressure3,Hyd.Pressure4,Filler.Level,Filler.Speed,Temperature,Usage.cont,Carb.Flow,Density,MFR,Balling,Pressure.Vacuum,Oxygen.Filler,Bowl.Setpoint,Pressure.Setpoint,Air.Pressurer,Alch.Rel,Carb.Rel,Balling.Lvl
8.36,-0.429678314,-0.259834976,-0.056478844,-0.252467696,0.028739554,0.064592687,0.312835308,0.551208072,-0.384302813,-1.042988461,-0.800627735,-0.580399367,0,0,1.586488194,0.778928616,0.465138156,0.056569562,-1.559550157,0.401939638,-0.745608404,0.335757705,-0.85971618,2.133538586,-0.555009839,0.708334989,-0.561538628,-0.186259901,-0.61982282,-0.917099396,-0.655076298
8.26,-1.834484216,0.588908822,0.40389058,-0.594110129,0.085553725,-0.340538108,0.720734619,0.210066909,-0.384302813,-1.042988461,-0.201908957,-0.580399367,0,0,0.785160639,0.585361604,0.432825898,1.248688457,-0.444724387,0.633328755,-0.605951824,0.370951307,-0.752186282,2.133538586,-0.34261711,0.708334989,-0.350264163,0.153360743,-0.669407016,-1.086577924,-0.56313702
8.94,-0.429678314,-0.750189272,0.980431801,-0.252467696,0.754655402,0.932259059,0.108885652,1.233490398,2.425287337,-1.042988461,-0.500570985,-0.580399367,0,0,-1.133023613,0.689068418,0.501644172,0.811641896,-1.114133498,0.382518698,1.09312996,0.532382047,1.011304048,2.484419908,-0.555009839,0.708334989,-0.455221332,-0.701082281,1.50832505,2.896664059,1.413557453
8.24,-1.834484216,0.680622194,0.40389058,0.245595145,-1.510031975,-2.27029437,0,1.915772723,-0.384302813,-1.042988461,-1.578769789,-0.444326195,-1.282929263,-1.284349773,-0.273237434,0.526646981,0.485399051,-0.255172013,-1.213484508,0.543255682,1.012567706,0.445535499,0.90377415,1.431775942,-0.34261711,0.708334989,-0.778348529,2.770750862,0.603866895,-0.097658533,1.13773962
8.26,-1.834484216,1.131696669,3.881128584,-3.088741071,-0.257853926,-1.080490045,-1.114812284,-0.301644835,1.488757287,-1.042988461,-0.88661762,-0.649192907,-1.282929263,-1.284349773,-0.273237434,0.585361604,0.481342827,-0.255172013,-1.137682973,0.53450644,1.012567706,0.292861815,0.90377415,1.431775942,-0.34261711,0.708334989,-0.778348529,2.770750862,0.603866895,0.060830283,1.13773962
8.32,-1.834484216,0.122644632,-0.516080667,-0.084620184,-0.431864292,-0.652712838,0.108885652,0.380637491,-0.384302813,-1.042988461,-0.628994623,-0.718499045,-1.282929263,-1.284349773,1.458760349,0.703983026,0.489457297,0.210325534,0.978796195,0.419232757,0.971498419,0.607805528,0.850009201,1.431775942,-0.555009839,0.708334989,-0.778348529,3.085928496,0.642336785,0.060830283,1.1147548
8.4,-1.834484216,-0.552384826,-0.974914887,-0.084620184,-1.143945157,-1.080490045,0.924684275,1.745202142,-0.384302813,-1.042988461,-0.07433232,1.215868403,-1.282929263,-1.284349773,1.95707143,0.945994569,-0.146826911,-0.098590571,-0.161173822,-2.027430505,-0.89176293,-0.067452051,-0.967246078,1.431775942,0.506953805,0.708334989,-0.778348529,2.770750862,-0.719446809,-0.419955186,-0.701045937
8.38,-0.429678314,-0.454318133,2.2530443,-0.944412974,-0.142708034,0.114365193,1.332583587,1.233490398,-0.384302813,-1.042988461,0.349124878,-0.310232702,-1.282929263,-1.284349773,2.424217097,0.585361604,-3.329162589,-0.572668745,-0.748133192,-1.666553902,-0.89176293,-0.067452051,-0.967246078,1.431775942,0.082168348,0.708334989,-0.778348529,2.928662607,-0.769947796,-0.749521554,-0.701045937
8.38,-0.429678314,-1.152601553,0.058541549,-0.252467696,-1.143945157,-0.187150691,0.924684275,-0.642785998,1.957022312,-1.042988461,-0.372403513,-0.580399367,-1.282929263,-1.284349773,-0.437461561,0.703983026,0.489457297,-0.413192178,-0.921910244,0.369591371,-0.67500418,0.639679142,-0.805951231,1.431775942,0.294561076,0.708334989,-0.778348529,3.553886083,-0.769947796,-0.749521554,-0.701045937
8.5,-0.429678314,-0.950250032,0.40389058,-0.768118862,1.080747544,1.523572846,-1.522711596,0.380637491,0.083962212,-1.042988461,-0.58615817,-0.858673585,-1.282929263,-1.284349773,0.924826331,0.748875869,0.517921654,0.513692315,-2.220237856,0.517028586,-0.67500418,-0.286534635,-0.805951231,1.431775942,-0.555009839,0.708334989,-0.778348529,2.770750862,-0.719446809,-0.749521554,-0.770000395
8.34,-0.429678314,-0.454318133,-0.630861184,-0.252467696,-0.548744318,-0.3920637,-0.095064004,-0.131074254,-0.384302813,-1.042988461,-0.628994623,-0.377034857,-1.282929263,-1.284349773,-0.112545283,0.659313715,0.501644172,-0.733619667,-0.722882626,0.536693106,-0.67500418,0.374867094,-0.805951231,1.431775942,-0.34261711,0.708334989,-0.778348529,2.770750862,-0.769947796,-0.749521554,-0.701045937
8.34,-0.429678314,-0.163410297,1.095883971,-0.422263683,-1.946050904,-2.211325623,0.516784963,-0.131074254,-0.852567838,-1.042988461,-0.714753584,-0.377034857,-1.282929263,-1.284349773,-0.777151737,0.659313715,0.485399051,-0.413192178,-0.909670364,0.595894768,-0.605951824,0.532382047,-0.752186282,1.431775942,0.294561076,0.708334989,-0.778348529,3.242552046,-0.769947796,-0.749521554,-0.701045937
8.34,-0.429678314,-1.460500992,-0.974914887,-0.084620184,-1.387233934,0.014629468,0.516784963,1.574631561,0,-1.042988461,-1.102102272,-0.788323874,-1.282929263,-1.284349773,0.198828811,0.763889824,0.485399051,-0.733619667,-1.29955239,0.335196977,-0.605951824,0.425870371,-0.752186282,1.431775942,0.082168348,0.708334989,-0.778348529,2.612189721,-0.769947796,-0.749521554,-0.678061118
8.38,-0.429678314,-0.950250032,-0.974914887,-0.768118862,0.972657985,1.612058149,0.312835308,0.210066909,-0.384302813,-1.042988461,-1.927727413,-0.580399367,-1.282929263,-1.284349773,-0.112545283,0.689068418,0.485399051,-0.733619667,0.829628478,0.519211811,-0.605951824,0.453409092,-0.752186282,1.431775942,0.082168348,0.708334989,-0.778348529,3.242552046,-0.769947796,-0.749521554,-0.701045937
8.4,-0.429678314,-0.950250032,-1.204044146,0.886284891,1.24176113,1.656058814,1.536533243,1.404060979,0.552227237,-1.042988461,-0.500570985,-0.377034857,-1.282929263,-1.284349773,-0.273237434,0.689068418,0.481342827,-0.733619667,-0.015002948,0.536693106,-0.67500418,0.481000605,-0.805951231,1.431775942,0.506953805,0.708334989,-0.778348529,3.085928496,-0.769947796,-0.749521554,-0.701045937
8.42,-0.429678314,-0.750189272,-1.204044146,-0.252467696,-0.028241473,0.553897889,-1.114812284,-0.301644835,-0.852567838,-1.042988461,1.354442881,-0.112705533,-1.282929263,-1.284349773,0.044763621,0.674178648,0.481342827,-0.572668745,-0.451332725,0.79544614,-0.67500418,0.453409092,-0.805951231,1.431775942,0.082168348,0.708334989,-0.778348529,2.612189721,-0.769947796,-0.749521554,-0.724030757
8.58,0.591859212,-1.357278942,-3.257571954,0.728407371,-1.265208212,-0.705454459,0.720734619,0.039496328,0.083962212,-1.042988461,0.18007172,0.332078746,-1.282929263,-1.284349773,-0.273237434,0.703983026,-2.917229833,2.088728023,-1.32790944,0.695249481,-2.783650952,-5.564687768,-1.988780111,1.782657264,2.418488365,0.708334989,-0.778348529,3.085928496,-0.769947796,-0.749521554,-0.678061118
8.5,-0.429678314,-0.163410297,0.173609918,0.081372194,-0.963459895,-1.026279465,1.332583587,-1.154497742,-0.852567838,-1.042988461,-1.491833934,-0.444326195,-1.282929263,-1.284349773,-0.112545283,0.71892247,0.485399051,-0.572668745,0.220614733,0.565158775,-0.745608404,0.363122965,-0.85971618,2.133538586,0.082168348,0.708334989,-0.778348529,3.242552046,-0.769947796,-0.58381608,-0.678061118
8.44,-0.429678314,0.027825513,1.326932236,-0.252467696,0.699769861,0.697115777,2.760231179,2.427484468,0.552227237,-1.042988461,-0.244490427,-0.243914106,-1.282929263,-1.284349773,0.198828811,0.424852614,-1.216714298,-0.413192178,-0.304414302,0.833513962,-0.89176293,-2.876806077,-0.967246078,2.133538586,0.294561076,0.708334989,-0.778348529,3.242552046,-0.769947796,-1.257985989,-0.701045937
8.3,0.591859212,-1.564317981,0.173609918,-0.594110129,-1.633612175,-0.035525466,3.372080147,-0.813356579,3.361817387,-1.042988461,-0.628994623,-0.788323874,-1.282929263,-1.284349773,0.497744551,0.703983026,0.485399051,1.391798553,-1.489104401,0.443056786,-0.817835855,0.469169206,-0.913481129,2.133538586,0.082168348,0.708334989,-0.778348529,2.770750862,-0.521999243,-0.749521554,-0.770000395
8.42,0.591859212,-1.460500992,3.298590471,-3.088741071,-0.373687259,0.601816986,-0.910862628,-0.983927161,0.083962212,-1.042988461,-1.275019097,-0.444326195,-1.282929263,-1.284349773,-0.112545283,0.763889824,0.481342827,-0.413192178,-1.456212216,0.573931974,-0.53838458,0.363122965,-0.698421333,1.782657264,-0.555009839,0.708334989,-0.778348529,2.770750862,-0.769947796,-0.749521554,-0.609106659
8.48,-0.429678314,-0.356802892,1.326932236,0.408127612,-0.607449434,-0.3920637,-0.502963316,-1.154497742,0.552227237,-1.042988461,1.60342104,-1.218519382,-1.282929263,-1.284349773,2.310140118,-0.664534629,-3.327127903,2.755918597,0.278823932,-2.027430505,-1.289985828,-0.067452051,-1.236070824,2.133538586,0,-0.699513994,1.161529058,3.398536752,-0.820915663,-0.257911595,-0.655076298
8.52,-0.429678314,-0.259834976,0.173609918,-1.123128528,0.028739554,0.311567915,-0.910862628,-0.301644835,-0.384302813,-1.042988461,-1.927727413,1.103107605,-1.282929263,-1.284349773,0.349781359,-0.872482252,-1.404686049,0.513692315,-0.620817181,0.93936662,-0.967471551,-3.115457391,-1.021011028,1.782657264,4.330022925,-0.699513994,1.161529058,3.242552046,-0.820915663,-0.419955186,-0.655076298
8.44,-0.429678314,0.403953998,0.173609918,0.245595145,0.534175464,0.457515632,0.720734619,-1.495638905,-0.384302813,-1.042988461,-0.929656133,0.755685909,-1.282929263,-1.284349773,0.044763621,-0.652078883,0.493517566,0.056569562,1.050291844,0.701903248,-0.605951824,0.484946559,-0.752186282,1.782657264,0.719346534,-0.699513994,1.161529058,2.928662607,-0.769947796,-0.419955186,-0.655076298
